,data,codnum,pm10,pm2_5,so2,no2,o3,co,pm10_i,pm2_5_i,so2_i,no2_i,o3_i,co_i,max_value,qualidade,nome,chuva
0,2011-01-01,1,36.50047619047619,,1.3309523809523809,,32.31,0.14375,29.200380952380954,,2.6619047619047618,,12.924000000000001,0.6388888888888888,29.200380952380954,Boa,Copacabana,0.6000000000000001
1,2011-01-02,1,34.26208333333333,,1.7256521739130435,,16.9975,0.465,27.409666666666666,,3.451304347826087,,6.7989999999999995,2.066666666666667,27.409666666666666,Boa,Copacabana,3.2
2,2011-01-03,1,43.68666666666667,,4.0578260869565215,,4.7175,0.60125,34.949333333333335,,8.115652173913043,,1.8870000000000002,2.672222222222222,34.949333333333335,Boa,Copacabana,5.6
3,2011-01-04,1,43.39291666666667,,2.9539130434782606,,8.93375,0.31875,34.714333333333336,,5.907826086956521,,3.5735,1.4166666666666667,34.714333333333336,Boa,Copacabana,11.4
4,2011-01-05,1,46.6625,,4.355652173913044,,7.71375,0.6262500000000001,37.330000000000005,,8.711304347826088,,3.0855,2.7833333333333337,37.330000000000005,Boa,Copacabana,1.0
5,2011-01-06,1,47.44125,,3.348695652173913,,19.71875,0.2525,37.952999999999996,,6.697391304347826,,7.8875,1.1222222222222222,37.952999999999996,Boa,Copacabana,0.0
6,2011-01-07,1,50.0875,,3.336,,11.700000000000001,0.2675,,,6.672,,4.680000000000001,1.188888888888889,,aaa,Copacabana,0.0
7,2011-01-08,1,52.090833333333336,,3.358695652173913,,31.493750000000002,0.19125,41.86821428571429,,6.717391304347826,,12.597500000000002,0.8500000000000001,41.86821428571429,Moderada,Copacabana,0.0
8,2011-01-09,1,54.54750000000001,,6.806521739130435,,41.645,0.33625,43.82352040816327,,13.61304347826087,,16.658,1.4944444444444445,43.82352040816327,Moderada,Copacabana,0.0
9,2011-01-10,1,58.26541666666666,,8.194782608695652,,35.853750000000005,0.37375,46.78267857142856,,16.389565217391304,,14.341500000000003,1.6611111111111112,46.78267857142856,Moderada,Copacabana,0.0
10,2011-01-11,1,46.02916666666667,,4.234782608695652,,27.25625,0.66625,36.82333333333334,,8.469565217391304,,10.902500000000002,2.9611111111111112,36.82333333333334,Boa,Copacabana,65.4
11,2011-01-12,1,52.324999999999996,,2.966086956521739,,29.12125,0.43374999999999997,42.05459183673469,,5.932173913043478,,11.6485,1.9277777777777778,42.05459183673469,Moderada,Copacabana,44.4
12,2011-01-13,1,52.26666666666667,,4.056086956521739,,14.84625,0.4925,42.00816326530613,,8.112173913043478,,5.9385,2.188888888888889,42.00816326530613,Moderada,Copacabana,0.6000000000000001
13,2011-01-14,1,39.22208333333334,,2.7017391304347824,,25.98,0.375,31.37766666666667,,5.403478260869565,,10.392000000000001,1.6666666666666667,31.37766666666667,Boa,Copacabana,1.6
14,2011-01-15,1,48.52916666666667,,4.25304347826087,,49.74875,0.37625,38.82333333333334,,8.50608695652174,,19.899500000000003,1.6722222222222223,38.82333333333334,Boa,Copacabana,0.0
15,2011-01-16,1,33.19708333333333,,2.4295652173913043,,25.0,0.2175,26.557666666666666,,4.8591304347826085,,10.0,0.9666666666666667,26.557666666666666,Boa,Copacabana,0.2
16,2011-01-17,1,51.58708333333333,,5.47304347826087,,21.24,0.78625,41.467270408163266,,10.94608695652174,,8.496,3.4944444444444445,41.467270408163266,Moderada,Copacabana,0.0
17,2011-01-18,1,56.15166666666667,,9.085217391304349,,56.4425,0.675,45.100306122448984,,18.170434782608698,,22.577,3.0000000000000004,45.100306122448984,Moderada,Copacabana,7.800000000000001
18,2011-01-19,1,65.29541666666667,,6.99,,42.77125,0.725,52.37798469387755,,13.98,,17.108500000000003,3.2222222222222223,52.37798469387755,Moderada,Copacabana,0.0
19,2011-01-20,1,64.495,,4.971739130434782,,65.455,0.44,51.74091836734694,,9.943478260869565,,26.182000000000002,1.9555555555555557,51.74091836734694,Moderada,Copacabana,0.0
20,2011-01-21,1,70.72333333333334,,3.1856521739130432,,49.23125,0.48000000000000004,56.69816326530613,,6.3713043478260865,,19.692500000000003,2.1333333333333337,56.69816326530613,Moderada,Copacabana,0.0
21,2011-01-22,1,48.989583333333336,,2.465217391304348,,24.556250000000002,0.12625,39.19166666666667,,4.930434782608696,,9.822500000000002,0.5611111111111111,39.19166666666667,Boa,Copacabana,0.0
22,2011-01-23,1,47.01333333333333,,4.115652173913043,,31.501250000000002,0.14,37.61066666666667,,8.231304347826086,,12.600500000000002,0.6222222222222223,37.61066666666667,Boa,Copacabana,0.0
23,2011-01-24,1,50.899166666666666,,3.4217391304347826,,20.25,0.24875,,,6.843478260869565,,8.1,1.1055555555555556,,aaa,Copacabana,0.0
24,2011-01-25,1,57.95458333333334,,3.2491304347826087,,22.015,0.26125,46.535280612244904,,6.498260869565217,,8.806000000000001,1.161111111111111,46.535280612244904,Moderada,Copacabana,0.0
25,2011-01-26,1,59.372727272727275,,3.2161904761904765,,14.192499999999999,0.24375000000000002,47.66400742115028,,6.432380952380953,,5.677,1.0833333333333335,47.66400742115028,Moderada,Copacabana,0.2
26,2011-01-27,1,77.33416666666666,,6.889130434782608,,31.2125,0.64375,61.959846938775506,,13.778260869565216,,12.485,2.8611111111111116,61.959846938775506,Moderada,Copacabana,0.0
27,2011-01-28,1,92.09083333333332,,7.865217391304348,,33.5375,0.665,73.70494897959182,,15.730434782608697,,13.415000000000001,2.9555555555555557,73.70494897959182,Moderada,Copacabana,0.0
